OTU	Sample	Abundance	Kingdom	Phylum	Class	Order	Family	Genus
Otu02515	8	3.33969465648855	Bacteria	Firmicutes	Clostridia	Halanaerobiales	64K2	64K2_unclassified
Otu02515	18	0.478697941598851	Bacteria	Firmicutes	Clostridia	Halanaerobiales	64K2	64K2_unclassified
Otu02515	24	0	Bacteria	Firmicutes	Clostridia	Halanaerobiales	64K2	64K2_unclassified
Otu02515	20	0	Bacteria	Firmicutes	Clostridia	Halanaerobiales	64K2	64K2_unclassified
Otu02515	25	0	Bacteria	Firmicutes	Clostridia	Halanaerobiales	64K2	64K2_unclassified
Otu02515	19	0	Bacteria	Firmicutes	Clostridia	Halanaerobiales	64K2	64K2_unclassified
Otu02515	10	0	Bacteria	Firmicutes	Clostridia	Halanaerobiales	64K2	64K2_unclassified
Otu02515	16	0	Bacteria	Firmicutes	Clostridia	Halanaerobiales	64K2	64K2_unclassified
Otu02515	28	0	Bacteria	Firmicutes	Clostridia	Halanaerobiales	64K2	64K2_unclassified
Otu02515	23	0	Bacteria	Firmicutes	Clostridia	Halanaerobiales	64K2	64K2_unclassified
Otu02515	21	0	Bacteria	Firmicutes	Clostridia	Halanaerobiales	64K2	64K2_unclassified
Otu02515	13	0	Bacteria	Firmicutes	Clostridia	Halanaerobiales	64K2	64K2_unclassified
Otu02515	22	0	Bacteria	Firmicutes	Clostridia	Halanaerobiales	64K2	64K2_unclassified
Otu02515	27	0	Bacteria	Firmicutes	Clostridia	Halanaerobiales	64K2	64K2_unclassified
Otu02515	26	0	Bacteria	Firmicutes	Clostridia	Halanaerobiales	64K2	64K2_unclassified
Otu02617	8	6.20229007633588	Bacteria	Firmicutes	Clostridia	Clostridiales	9B-04	9B-04_unclassified
Otu02617	24	3.28407224958949	Bacteria	Firmicutes	Clostridia	Clostridiales	9B-04	9B-04_unclassified
Otu02617	16	2.71370420624152	Bacteria	Firmicutes	Clostridia	Clostridiales	9B-04	9B-04_unclassified
Otu02617	17	2.07361327112494	Bacteria	Firmicutes	Clostridia	Clostridiales	9B-04	9B-04_unclassified
Otu02617	10	1.48367952522255	Bacteria	Firmicutes	Clostridia	Clostridiales	9B-04	9B-04_unclassified
Otu02617	27	0.741839762611276	Bacteria	Firmicutes	Clostridia	Clostridiales	9B-04	9B-04_unclassified
Otu02617	28	0.729660707770887	Bacteria	Firmicutes	Clostridia	Clostridiales	9B-04	9B-04_unclassified
