Kingdom	Phylum	Class	Order	Family	Genus
Otu01282	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonadaceae_unclassified
Otu01284	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified
Otu01285	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobacteraceae_unclassified
Otu01286	Bacteria	Chloroflexi	Ardenticatenia	Ardenticatenia_unclassified	Ardenticatenia_unclassified	Ardenticatenia_unclassified
Otu01287	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	DUNssu044	DUNssu044_unclassified
Otu01288	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae_unclassified
Otu01289	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified
Otu01290	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Sandaracinaceae	Sandaracinaceae_unclassified
Otu01291	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Methylohalomonas
Otu01292	Bacteria	Bacteroidetes	Cytophagia	Order_II	Rhodothermaceae	Rhodothermaceae_unclassified
Otu01293	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified
Otu01295	Bacteria	Latescibacteria	Latescibacteria_unclassified	Latescibacteria_unclassified	Latescibacteria_unclassified	Latescibacteria_unclassified
Otu01296	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_3	Sporosalibacterium
Otu01297	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillaceae_unclassified
Otu01298	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified
Otu01299	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Planctomyces
Otu01300	Bacteria	Deferribacteres	Deferribacteres_Incertae_Sedis	Unknown_Order	Unknown_Family	Caldithrix
Otu01301	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Longispora
Otu01302	Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Acidobacterium
Otu01304	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	MSB-1E8	MSB-1E8_unclassified
Otu01305	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Marinobacter
Otu01306	Bacteria	Planctomycetes	Planctomycetes_unclassified	Planctomycetes_unclassified	Planctomycetes_unclassified	Planctomycetes_unclassified
Otu01307	Bacteria	Gemmatimonadetes	Gemmatimonadetes	PAUC43f_marine_benthic_group	PAUC43f_marine_benthic_group_unclassified	PAUC43f_marine_benthic_group_unclassified
Otu01308	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae_unclassified
Otu01309	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu01310	Bacteria	Proteobacteria	Alphaproteobacteria	OCS116_clade	OCS116_clade_unclassified	OCS116_clade_unclassified
Otu01311	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Arcobacter
Otu01312	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
Otu01313	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae	Portibacter
Otu01314	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Pontibacter
Otu01315	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	GR-WP33-58	GR-WP33-58_unclassified
Otu01316	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Oceanicaulis
Otu01317	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillales_unclassified	Rhodospirillales_unclassified
Otu01318	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27_clade
Otu01319	Bacteria	Bacteroidetes	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified
Otu01320	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Sva0081_sediment_group
Otu01322	Bacteria	Chloroflexi	Chloroflexi_unclassified	Chloroflexi_unclassified	Chloroflexi_unclassified	Chloroflexi_unclassified
Otu01324	Bacteria	Proteobacteria	Deltaproteobacteria	Sh765B-TzT-29	Sh765B-TzT-29_unclassified	Sh765B-TzT-29_unclassified
Otu01325	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagales_unclassified	Cytophagales_unclassified
Otu01326	Bacteria	Chlorobi	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae	Ignavibacterium
Otu01329	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium
Otu01330	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_unclassified	Clostridiales_unclassified
Otu01331	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Urania-1B-19_marine_sediment_group
Otu01332	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Eel-36e1D6	Eel-36e1D6_unclassified
Otu01333	Bacteria	Chloroflexi	Ardenticatenia	Ardenticatenia_unclassified	Ardenticatenia_unclassified	Ardenticatenia_unclassified
Otu01334	Bacteria	Deinococcus-Thermus	Deinococci	KD3-62	KD3-62_unclassified	KD3-62_unclassified
Otu01336	Bacteria	Chloroflexi	TK10	TK10_unclassified	TK10_unclassified	TK10_unclassified
Otu01337	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfurellales	Desulfurellaceae	Desulfurellaceae_unclassified
Otu01338	Bacteria	Proteobacteria	Proteobacteria_unclassified	Proteobacteria_unclassified	Proteobacteria_unclassified	Proteobacteria_unclassified
Otu01339	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Flammeovirgaceae_unclassified
Otu01340	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae_unclassified
Otu01341	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	GR-WP33-58	GR-WP33-58_unclassified
Otu01342	Bacteria	Gemmatimonadetes	Gemmatimonadetes	AT425-EubC11_terrestrial_group	AT425-EubC11_terrestrial_group_unclassified	AT425-EubC11_terrestrial_group_unclassified
Otu01344	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillales_unclassified	Rhodospirillales_unclassified
Otu01345	Bacteria	Proteobacteria	Deltaproteobacteria	Sh765B-TzT-29	Sh765B-TzT-29_unclassified	Sh765B-TzT-29_unclassified
Otu01346	Bacteria	Actinobacteria	Actinobacteria_unclassified	Actinobacteria_unclassified	Actinobacteria_unclassified	Actinobacteria_unclassified
Otu01347	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolineaceae_unclassified
Otu01348	Bacteria	Actinobacteria	MB-A2-108	MB-A2-108_unclassified	MB-A2-108_unclassified	MB-A2-108_unclassified
Otu01349	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolineaceae_unclassified
Otu01350	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriales_unclassified	Sphingobacteriales_unclassified
Otu01351	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	P3OB-42	P3OB-42_unclassified
Otu01353	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	480-2	480-2_unclassified
Otu01354	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas
Otu01355	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium
Otu01356	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified
Otu01357	Bacteria	Gemmatimonadetes	Gemmatimonadetes	BD2-11_terrestrial_group	BD2-11_terrestrial_group_unclassified	BD2-11_terrestrial_group_unclassified
Otu01359	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_unclassified	Rhizobiales_unclassified
Otu01361	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Planctomycetaceae_unclassified
Otu01362	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_3	Sporosalibacterium
Otu01363	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto_13
Otu01365	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	Oligoflexaceae_unclassified
Otu01366	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Pir4_lineage
Otu01367	Bacteria	Actinobacteria	Actinobacteria_unclassified	Actinobacteria_unclassified	Actinobacteria_unclassified	Actinobacteria_unclassified
Otu01368	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Owenweeksia
Otu01369	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobacteraceae_unclassified
Otu01370	Bacteria	Tenericutes	Mollicutes	Haloplasmatales	Haloplasmataceae	Haloplasma
Otu01371	Bacteria	Proteobacteria	Deltaproteobacteria	Deltaproteobacteria_unclassified	Deltaproteobacteria_unclassified	Deltaproteobacteria_unclassified
Otu01372	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Bythopirellula
Otu01373	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae_unclassified
Otu01374	Bacteria	Latescibacteria	Latescibacteria_unclassified	Latescibacteria_unclassified	Latescibacteria_unclassified	Latescibacteria_unclassified
Otu01375	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Reichenbachiella
Otu01376	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_unclassified	Rhizobiales_unclassified
Otu01377	Bacteria	Planctomycetes	Pla4_lineage	Pla4_lineage_unclassified	Pla4_lineage_unclassified	Pla4_lineage_unclassified
Otu01378	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Oceanospirillaceae_unclassified
Otu01379	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae	Lewinella
Otu01380	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Mangrovibacterium
Otu01381	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu01382	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu01383	Bacteria	Chloroflexi	Ardenticatenia	Ardenticatenia_unclassified	Ardenticatenia_unclassified	Ardenticatenia_unclassified
Otu01384	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolineaceae_unclassified
Otu01385	Bacteria	Proteobacteria	Proteobacteria_unclassified	Proteobacteria_unclassified	Proteobacteria_unclassified	Proteobacteria_unclassified
Otu01386	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillaceae_unclassified
Otu01387	Bacteria	Bacteroidetes	Bacteroidetes_BD2-2	Bacteroidetes_BD2-2_unclassified	Bacteroidetes_BD2-2_unclassified	Bacteroidetes_BD2-2_unclassified
Otu01388	Bacteria	Proteobacteria	Proteobacteria_unclassified	Proteobacteria_unclassified	Proteobacteria_unclassified	Proteobacteria_unclassified
Otu01389	Bacteria	Planctomycetes	OM190	OM190_unclassified	OM190_unclassified	OM190_unclassified
Otu01390	Bacteria	Firmicutes	OPB54	OPB54_unclassified	OPB54_unclassified	OPB54_unclassified
Otu01392	Bacteria	Planctomycetes	Planctomycetes_unclassified	Planctomycetes_unclassified	Planctomycetes_unclassified	Planctomycetes_unclassified
Otu01393	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	Spongiibacteraceae_unclassified
Otu01394	Bacteria	Acidobacteria	Acidobacteria	Subgroup_17	Subgroup_17_unclassified	Subgroup_17_unclassified
Otu01396	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_unclassified	Rhizobiales_unclassified
Otu01397	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Oceanicola
Otu01398	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Halieaceae_unclassified
Otu01400	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagales_unclassified	Cytophagales_unclassified
Otu01401	Bacteria	Planctomycetes	Phycisphaerae	Pla1_lineage	Pla1_lineage_unclassified	Pla1_lineage_unclassified
Otu01402	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Illumatobacter
Otu01403	Bacteria	Firmicutes	Clostridia	Clostridiales	Syntrophomonadaceae	Dethiobacter
Otu01404	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobacteraceae_unclassified
Otu01405	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	BIrii41	BIrii41_unclassified
Otu01406	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27_clade
Otu01407	Bacteria	Proteobacteria	Gammaproteobacteria	34P16	34P16_unclassified	34P16_unclassified
Otu01409	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OM1_clade	OM1_clade_unclassified
Otu01410	Bacteria	Parcubacteria	Parcubacteria_unclassified	Parcubacteria_unclassified	Parcubacteria_unclassified	Parcubacteria_unclassified
Otu01411	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae_unclassified
Otu01412	Bacteria	Gemmatimonadetes	Gemmatimonadetes	BD2-11_terrestrial_group	BD2-11_terrestrial_group_unclassified	BD2-11_terrestrial_group_unclassified
Otu01413	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Blfdi19	Blfdi19_unclassified
Otu01414	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Fictibacillus
Otu01415	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	DA111	DA111_unclassified
Otu01416	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu01417	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Urania-1B-19_marine_sediment_group
Otu01418	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae	Phaeodactylibacter
Otu01419	Bacteria	Latescibacteria	Latescibacteria_unclassified	Latescibacteria_unclassified	Latescibacteria_unclassified	Latescibacteria_unclassified
Otu01420	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified
Otu01421	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto_1
Otu01422	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Deferrisoma
Otu01423	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium
Otu01424	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Coriobacteriaceae_unclassified
Otu01425	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Urania-1B-19_marine_sediment_group
Otu01426	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified
Otu01427	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thioalkalispira
Otu01429	Bacteria	Proteobacteria	Deltaproteobacteria	Sh765B-TzT-29	Sh765B-TzT-29_unclassified	Sh765B-TzT-29_unclassified
Otu01430	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified
Otu01431	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillaceae_unclassified
Otu01432	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillaceae_unclassified
Otu01433	Bacteria	Proteobacteria	Deltaproteobacteria	Sh765B-TzT-29	Sh765B-TzT-29_unclassified	Sh765B-TzT-29_unclassified
Otu01434	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium
Otu01435	Bacteria	Saccharibacteria	Saccharibacteria_unclassified	Saccharibacteria_unclassified	Saccharibacteria_unclassified	Saccharibacteria_unclassified
Otu01437	Bacteria	Verrucomicrobia	OPB35_soil_group	OPB35_soil_group_unclassified	OPB35_soil_group_unclassified	OPB35_soil_group_unclassified
Otu01438	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae	Saprospiraceae_unclassified
Otu01439	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified
Otu01440	Bacteria	Chloroflexi	Ardenticatenia	Ardenticatenia_unclassified	Ardenticatenia_unclassified	Ardenticatenia_unclassified
Otu01441	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolineaceae_unclassified
Otu01442	Bacteria	Chloroflexi	Dehalococcoidia	Dehalococcoidales	Dehalococcoidaceae	Dehalogenimonas
Otu01443	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillales_unclassified	Rhodospirillales_unclassified
Otu01444	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OM1_clade	OM1_clade_unclassified
Otu01445	Bacteria	Latescibacteria	Latescibacteria_unclassified	Latescibacteria_unclassified	Latescibacteria_unclassified	Latescibacteria_unclassified
Otu01447	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophaceae	Desulfobacca
Otu01448	Bacteria	Bacteroidetes	Cytophagia	Order_II	Rhodothermaceae	Rhodothermaceae_unclassified
Otu01449	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Sandaracinaceae	Sandaracinus
Otu01450	Bacteria	Chloroflexi	Chloroflexi_unclassified	Chloroflexi_unclassified	Chloroflexi_unclassified	Chloroflexi_unclassified
Otu01452	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	Spongiibacteraceae_unclassified
Otu01453	Bacteria	Planctomycetes	Phycisphaerae	WD2101_soil_group	WD2101_soil_group_unclassified	WD2101_soil_group_unclassified
Otu01454	Bacteria	Chloroflexi	Caldilineae	Caldilineales	Caldilineaceae	Caldilineaceae_unclassified
Otu01455	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
Otu01456	Bacteria	Actinobacteria	Actinobacteria_unclassified	Actinobacteria_unclassified	Actinobacteria_unclassified	Actinobacteria_unclassified
Otu01457	Bacteria	Actinobacteria	Actinobacteria	Actinobacteria_unclassified	Actinobacteria_unclassified	Actinobacteria_unclassified
Otu01458	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_3	Clostridiisalibacter
Otu01459	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolineaceae_unclassified
Otu01460	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadales_Incertae_Sedis	Steroidobacter
Otu01461	Bacteria	Actinobacteria	KIST-JJY010	KIST-JJY010_unclassified	KIST-JJY010_unclassified	KIST-JJY010_unclassified
Otu01462	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Methylophaga
Otu01463	Bacteria	Gemmatimonadetes	Gemmatimonadetes	BD2-11_terrestrial_group	BD2-11_terrestrial_group_unclassified	BD2-11_terrestrial_group_unclassified
Otu01464	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Halieaceae_unclassified
Otu01465	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu01466	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Phycisphaera
Otu01467	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Fulvivirga
Otu01468	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadetes_unclassified	Gemmatimonadetes_unclassified	Gemmatimonadetes_unclassified
Otu01469	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Sva0996_marine_group	Sva0996_marine_group_unclassified
Otu01470	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)_unclassified	SAR324_clade(Marine_group_B)_unclassified
Otu01471	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_3	Clostridiaceae_3_unclassified
Otu01472	Bacteria	Chloroflexi	Ardenticatenia	Ardenticatenia_unclassified	Ardenticatenia_unclassified	Ardenticatenia_unclassified
Otu01473	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Micromonosporaceae_unclassified
Otu01474	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
Otu01475	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Gemmata
Otu01476	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Rhodospirillaceae_unclassified
Otu01477	Bacteria	Hydrogenedentes	Hydrogenedentes_unclassified	Hydrogenedentes_unclassified	Hydrogenedentes_unclassified	Hydrogenedentes_unclassified
Otu01478	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolineaceae_unclassified
Otu01479	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospiraceae_unclassified
Otu01480	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified
Otu01482	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Blfdi19	Blfdi19_unclassified
Otu01483	Bacteria	Acidobacteria	Holophagae	Subgroup_10	ABS-19	ABS-19_unclassified
Otu01484	Bacteria	Latescibacteria	Latescibacteria_unclassified	Latescibacteria_unclassified	Latescibacteria_unclassified	Latescibacteria_unclassified
Otu01485	Bacteria	Acidobacteria	Acidobacteria	Subgroup_13	Subgroup_13_unclassified	Subgroup_13_unclassified
Otu01487	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces
Otu01488	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	P3OB-42	P3OB-42_unclassified
Otu01489	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Sandaracinaceae	Sandaracinaceae_unclassified
Otu01490	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_2	Alkaliphilus
Otu01491	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified
Otu01492	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27_clade
Otu01493	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Peptococcaceae_unclassified
Otu01494	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Deferrisoma
Otu01496	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu01497	Bacteria	Proteobacteria	Deltaproteobacteria	GR-WP33-30	GR-WP33-30_unclassified	GR-WP33-30_unclassified
Otu01499	Bacteria	Actinobacteria	Actinobacteria_unclassified	Actinobacteria_unclassified	Actinobacteria_unclassified	Actinobacteria_unclassified
Otu01501	Bacteria	Actinobacteria	Actinobacteria	PeM15	PeM15_unclassified	PeM15_unclassified
Otu01502	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	GR-WP33-58	GR-WP33-58_unclassified
Otu01503	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_3	Clostridiisalibacter
Otu01504	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacteraceae	Anaeromyxobacter
Otu01505	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu01507	Bacteria	Bacteroidetes	Cytophagia	Order_II	Rhodothermaceae	Rhodothermaceae_unclassified
Otu01508	Bacteria	Proteobacteria	Deltaproteobacteria	GR-WP33-30	GR-WP33-30_unclassified	GR-WP33-30_unclassified
Otu01509	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Nannocystaceae	Nannocystis
Otu01510	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellales_unclassified	Gaiellales_unclassified
Otu01511	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadales_unclassified	Desulfuromonadales_unclassified
Otu01512	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophaceae	Desulfobacca
Otu01513	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Elev-16S-1332	Elev-16S-1332_unclassified
Otu01514	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_unclassified	Rhizobiales_unclassified
Otu01516	Bacteria	Bacteroidetes	Bacteroidetes_BD2-2	Bacteroidetes_BD2-2_unclassified	Bacteroidetes_BD2-2_unclassified	Bacteroidetes_BD2-2_unclassified
Otu01517	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillales_unclassified	Rhodospirillales_unclassified
Otu01518	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	GR-WP33-58	GR-WP33-58_unclassified
Otu01519	Bacteria	Acidobacteria	Holophagae	Subgroup_7	Subgroup_7_unclassified	Subgroup_7_unclassified
Otu01520	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified
Otu01521	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Reichenbachiella
Otu01522	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	MSBL7
Otu01523	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiaceae	Mangroviflexus
Otu01524	Bacteria	Chlorobi	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae	Ignavibacterium
Otu01525	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolineaceae_unclassified
Otu01526	Bacteria	Chloroflexi	Chloroflexi_unclassified	Chloroflexi_unclassified	Chloroflexi_unclassified	Chloroflexi_unclassified
