OTU	Sample	Abundance	Kingdom	Phylum	Class	Order
Otu00795	PNC3	11.4852840914645	Bacteria	Proteobacteria	Gammaproteobacteria	BD7-8_marine_group
Otu00795	PNC1	3.94692627811898	Bacteria	Proteobacteria	Gammaproteobacteria	BD7-8_marine_group
Otu00795	PNC2	2.38769011627436	Bacteria	Proteobacteria	Gammaproteobacteria	BD7-8_marine_group
Otu00795	VC3	0.202265372168285	Bacteria	Proteobacteria	Gammaproteobacteria	BD7-8_marine_group
Otu00795	VC2	0	Bacteria	Proteobacteria	Gammaproteobacteria	BD7-8_marine_group
Otu00795	VC1	0	Bacteria	Proteobacteria	Gammaproteobacteria	BD7-8_marine_group
Otu00892	VC2	21.0848642965078	Bacteria	Proteobacteria	Epsilonproteobacteria	BG.g7
Otu00892	VC3	8.26321516689731	Bacteria	Proteobacteria	Epsilonproteobacteria	BG.g7
Otu00892	PNC1	3.13620860166956	Bacteria	Proteobacteria	Epsilonproteobacteria	BG.g7
Otu00892	VC1	0.875584990775511	Bacteria	Proteobacteria	Epsilonproteobacteria	BG.g7
Otu00892	PNC3	0.505818033200957	Bacteria	Proteobacteria	Epsilonproteobacteria	BG.g7
Otu00892	PNC2	0	Bacteria	Proteobacteria	Epsilonproteobacteria	BG.g7
Otu01174	PNC3	10.650252005519	Bacteria	Proteobacteria	BJGMM-U27	BJGMM-U27_unclassified
Otu01174	PNC1	0.521648408972353	Bacteria	Proteobacteria	BJGMM-U27	BJGMM-U27_unclassified
Otu01174	PNC2	0.172354360565322	Bacteria	Proteobacteria	BJGMM-U27	BJGMM-U27_unclassified
Otu01174	VC3	0	Bacteria	Proteobacteria	BJGMM-U27	BJGMM-U27_unclassified
Otu01174	VC2	0	Bacteria	Proteobacteria	BJGMM-U27	BJGMM-U27_unclassified
Otu01174	VC1	0	Bacteria	Proteobacteria	BJGMM-U27	BJGMM-U27_unclassified
Otu00047	PNC2	856.203760389972	Bacteria	Firmicutes	Bacilli	Bacillales
Otu00047	VC3	461.455944934792	Bacteria	Firmicutes	Bacilli	Bacillales
Otu00047	PNC3	361.232371820033	Bacteria	Firmicutes	Bacilli	Bacillales
Otu00047	VC1	236.926096374618	Bacteria	Firmicutes	Bacilli	Bacillales
Otu00047	VC2	173.806698263843	Bacteria	Firmicutes	Bacilli	Bacillales
Otu00047	PNC1	100.951410114698	Bacteria	Firmicutes	Bacilli	Bacillales
Otu00196	PNC2	49.726528603242	Bacteria	Firmicutes	Bacilli	Bacilli_unclassified
Otu00196	VC1	16.7595141074053	Bacteria	Firmicutes	Bacilli	Bacilli_unclassified
Otu00196	PNC3	14.4915623205036	Bacteria	Firmicutes	Bacilli	Bacilli_unclassified
Otu00196	VC3	9.55347013708263	Bacteria	Firmicutes	Bacilli	Bacilli_unclassified
Otu00196	PNC1	6.84290416174668	Bacteria	Firmicutes	Bacilli	Bacilli_unclassified
Otu00196	VC2	1.5044900291388	Bacteria	Firmicutes	Bacilli	Bacilli_unclassified
Otu00010	VC1	1572.76533908424	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu00010	VC3	933.390540345831	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu00010	PNC3	369.045970620935	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu00010	PNC1	301.400443611482	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu00010	VC2	277.322793320132	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu00010	PNC2	218.285663822142	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu01523	VC2	17.9853906926029	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales
Otu01523	VC1	0.636132315521629	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales
Otu01523	PNC1	0	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales
Otu01523	PNC3	0	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales
Otu01523	PNC2	0	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales
Otu01523	VC3	0	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales
Otu00318	PNC1	34.3288344894081	Bacteria	Bacteroidetes	Bacteroidetes_BD2-2	Bacteroidetes_BD2-2_unclassified
Otu00318	PNC3	17.3325428801989	Bacteria	Bacteroidetes	Bacteroidetes_BD2-2	Bacteroidetes_BD2-2_unclassified
Otu00318	VC3	5.93763603774433	Bacteria	Bacteroidetes	Bacteroidetes_BD2-2	Bacteroidetes_BD2-2_unclassified
Otu00318	PNC2	5.79357486314888	Bacteria	Bacteroidetes	Bacteroidetes_BD2-2	Bacteroidetes_BD2-2_unclassified
Otu00318	VC2	1.79404575737649	Bacteria	Bacteroidetes	Bacteroidetes_BD2-2	Bacteroidetes_BD2-2_unclassified
Otu00318	VC1	1.0231225700839	Bacteria	Bacteroidetes	Bacteroidetes_BD2-2	Bacteroidetes_BD2-2_unclassified
Otu00160	PNC3	85.853265340057	Bacteria	Bacteroidetes	Bacteroidetes_unclassified	Bacteroidetes_unclassified
Otu00160	PNC1	84.3878356528496	Bacteria	Bacteroidetes	Bacteroidetes_unclassified	Bacteroidetes_unclassified
Otu00160	PNC2	41.8231772887582	Bacteria	Bacteroidetes	Bacteroidetes_unclassified	Bacteroidetes_unclassified
Otu00160	VC1	25.3463122007421	Bacteria	Bacteroidetes	Bacteroidetes_unclassified	Bacteroidetes_unclassified
Otu00160	VC2	24.5173059630727	Bacteria	Bacteroidetes	Bacteroidetes_unclassified	Bacteroidetes_unclassified
Otu00160	VC3	17.6880499540437	Bacteria	Bacteroidetes	Bacteroidetes_unclassified	Bacteroidetes_unclassified
Otu00512	VC1	40.5638691552786	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidia_Incertae_Sedis
Otu00512	VC2	34.8216119505554	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidia_Incertae_Sedis
Otu00512	PNC1	11.1602635976585	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidia_Incertae_Sedis
