OTU	Sample	Abundance	Kingdom	Phylum	Class	Order	Family
Otu02735	PNC3	1.7280087402393	Bacteria	Acetothermia	Acetothermia_unclassified	Acetothermia_unclassified	Acetothermia_unclassified
Otu02735	PNC2	1.32575165316741	Bacteria	Acetothermia	Acetothermia_unclassified	Acetothermia_unclassified	Acetothermia_unclassified
Otu02735	PNC1	1.21642873529147	Bacteria	Acetothermia	Acetothermia_unclassified	Acetothermia_unclassified	Acetothermia_unclassified
Otu02735	VC3	0.172801105927078	Bacteria	Acetothermia	Acetothermia_unclassified	Acetothermia_unclassified	Acetothermia_unclassified
Otu02735	VC2	0	Bacteria	Acetothermia	Acetothermia_unclassified	Acetothermia_unclassified	Acetothermia_unclassified
Otu02735	VC1	0	Bacteria	Acetothermia	Acetothermia_unclassified	Acetothermia_unclassified	Acetothermia_unclassified
Otu00081	PNC1	133.333391946944	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae
Otu00081	PNC3	128.459493486454	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae
Otu00081	PNC2	84.4178340434048	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae
Otu00081	VC1	23.6956728126483	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae
Otu00081	VC2	16.5479751287843	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae
Otu00081	VC3	16.0469879163924	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae
Otu01706	PNC3	5.04528055941486	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiales_Incertae_Sedis
Otu01706	PNC1	1.34796460375353	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiales_Incertae_Sedis
Otu01706	PNC2	0.638875578980994	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiales_Incertae_Sedis
Otu01706	VC1	0.363657592897186	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiales_Incertae_Sedis
Otu01706	VC2	0.247279920870425	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiales_Incertae_Sedis
Otu01706	VC3	0	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiales_Incertae_Sedis
Otu00281	PNC2	68.3919007417979	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiales_unclassified
Otu00281	VC1	43.5360746385466	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiales_unclassified
Otu00281	VC3	28.1030236058364	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiales_unclassified
Otu00281	PNC3	24.2918165352696	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiales_unclassified
Otu00281	VC2	23.0616884717286	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiales_unclassified
Otu00281	PNC1	17.6128506808968	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiales_unclassified
Otu00200	VC2	170.598642901972	Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)
Otu00200	VC1	0.795165394402036	Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)
Otu00200	PNC2	0	Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)
Otu00200	PNC3	0	Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)
Otu00200	VC3	0	Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)
Otu00200	PNC1	0	Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)
Otu01176	VC2	14.973369065494	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Acidothermaceae
Otu01176	PNC1	2.98050341010822	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Acidothermaceae
Otu01176	VC3	0	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Acidothermaceae
Otu01176	PNC3	0	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Acidothermaceae
Otu01176	PNC2	0	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Acidothermaceae
Otu01176	VC1	0	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Acidothermaceae
Otu00033	VC1	233.010201735469	Bacteria	Actinobacteria	Actinobacteria_unclassified	Actinobacteria_unclassified	Actinobacteria_unclassified
Otu00033	PNC2	163.942933531874	Bacteria	Actinobacteria	Actinobacteria_unclassified	Actinobacteria_unclassified	Actinobacteria_unclassified
Otu00033	PNC3	129.533637985469	Bacteria	Actinobacteria	Actinobacteria_unclassified	Actinobacteria_unclassified	Actinobacteria_unclassified
Otu00165	VC3	108.292463278163	Bacteria	Actinobacteria	Actinobacteria	Actinobacteria_unclassified	Actinobacteria_unclassified
Otu00033	PNC1	92.9110521591428	Bacteria	Actinobacteria	Actinobacteria_unclassified	Actinobacteria_unclassified	Actinobacteria_unclassified
Otu00165	VC1	88.9904182573038	Bacteria	Actinobacteria	Actinobacteria	Actinobacteria_unclassified	Actinobacteria_unclassified
Otu00033	VC3	52.1826101002676	Bacteria	Actinobacteria	Actinobacteria_unclassified	Actinobacteria_unclassified	Actinobacteria_unclassified
Otu00165	VC2	40.4017342350683	Bacteria	Actinobacteria	Actinobacteria	Actinobacteria_unclassified	Actinobacteria_unclassified
Otu00033	VC2	27.1469021687683	Bacteria	Actinobacteria	Actinobacteria_unclassified	Actinobacteria_unclassified	Actinobacteria_unclassified
Otu00165	PNC3	6.72012513400701	Bacteria	Actinobacteria	Actinobacteria	Actinobacteria_unclassified	Actinobacteria_unclassified
Otu00165	PNC1	1.47521506983184	Bacteria	Actinobacteria	Actinobacteria	Actinobacteria_unclassified	Actinobacteria_unclassified
Otu00165	PNC2	0.479156684235745	Bacteria	Actinobacteria	Actinobacteria	Actinobacteria_unclassified	Actinobacteria_unclassified
Otu01089	VC3	14.9167683400163	Bacteria	Actinobacteria	Actinobacteria	Actinopolysporales	Actinopolysporaceae
Otu01089	VC2	13.7581073648255	Bacteria	Actinobacteria	Actinobacteria	Actinopolysporales	Actinopolysporaceae
Otu01089	VC1	4.00457797527489	Bacteria	Actinobacteria	Actinobacteria	Actinopolysporales	Actinopolysporaceae
Otu01089	PNC2	0.709605637751699	Bacteria	Actinobacteria	Actinobacteria	Actinopolysporales	Actinopolysporaceae
Otu01089	PNC1	0.652060511215441	Bacteria	Actinobacteria	Actinobacteria	Actinopolysporales	Actinopolysporaceae
Otu01089	PNC3	0.121610117961814	Bacteria	Actinobacteria	Actinobacteria	Actinopolysporales	Actinopolysporaceae
Otu00435	VC1	48.6675405132342	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae
Otu00435	PNC1	8.04801978109015	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae
Otu00435	VC3	6.9921994652513	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae
Otu00435	PNC3	1.07918521516255	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae
Otu00435	PNC2	1.00377249560205	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae
Otu00435	VC2	0.904568068747174	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae
Otu01634	PNC2	10.5479408267561	Bacteria	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae
Otu01634	PNC3	3.17516313085381	Bacteria	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae
Otu01634	VC3	2.94360683166623	Bacteria	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae
Otu01634	PNC1	0.52684791508294	Bacteria	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae
Otu01634	VC1	0	Bacteria	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae
Otu01634	VC2	0	Bacteria	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae
Otu00025	PNC3	284.656404799841	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified
Otu00025	PNC1	266.612186119889	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified
Otu00025	PNC2	210.420608504411	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified
Otu00025	VC2	186.494199642015	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified
Otu00025	VC1	133.494213093763	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified
Otu00025	VC3	106.336254624262	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified
Otu00511	VC3	46.0627610497478	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae
Otu00511	VC1	39.2987074283726	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae
Otu00511	PNC1	23.6266055094412	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae
Otu00511	PNC2	13.3135389572297	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae
Otu00511	PNC3	2.87362209515625	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae
Otu00511	VC2	1.835666765209	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae
Otu00021	VC2	1741.20848212622	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae
Otu00021	VC3	1048.56284787715	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae
Otu00021	VC1	622.298470419737	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae
Otu00021	PNC1	260.16679029226	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae
Otu00021	PNC3	106.3203427748	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae
Otu00021	PNC2	65.6090174481321	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae
Otu00084	VC1	190.412536035062	Bacteria	Chloroflexi	Ardenticatenia	Ardenticatenales	Ardenticatenaceae
Otu00084	VC3	9.97850568855287	Bacteria	Chloroflexi	Ardenticatenia	Ardenticatenales	Ardenticatenaceae
Otu00084	PNC1	0	Bacteria	Chloroflexi	Ardenticatenia	Ardenticatenales	Ardenticatenaceae
Otu00084	PNC2	0	Bacteria	Chloroflexi	Ardenticatenia	Ardenticatenales	Ardenticatenaceae
Otu00084	PNC3	0	Bacteria	Chloroflexi	Ardenticatenia	Ardenticatenales	Ardenticatenaceae
Otu00084	VC2	0	Bacteria	Chloroflexi	Ardenticatenia	Ardenticatenales	Ardenticatenaceae
Otu00042	VC3	631.801831601454	Bacteria	Chloroflexi	Ardenticatenia	Ardenticatenia_unclassified	Ardenticatenia_unclassified
Otu00042	VC2	467.148864792916	Bacteria	Chloroflexi	Ardenticatenia	Ardenticatenia_unclassified	Ardenticatenia_unclassified
Otu00042	VC1	309.842191551635	Bacteria	Chloroflexi	Ardenticatenia	Ardenticatenia_unclassified	Ardenticatenia_unclassified
Otu00042	PNC3	135.289531829357	Bacteria	Chloroflexi	Ardenticatenia	Ardenticatenia_unclassified	Ardenticatenia_unclassified
Otu00042	PNC1	61.4639099657653	Bacteria	Chloroflexi	Ardenticatenia	Ardenticatenia_unclassified	Ardenticatenia_unclassified
Otu00042	PNC2	44.3088282349301	Bacteria	Chloroflexi	Ardenticatenia	Ardenticatenia_unclassified	Ardenticatenia_unclassified
Otu00607	VC2	69.7740369780143	Bacteria	Armatimonadetes	Armatimonadetes_unclassified	Armatimonadetes_unclassified	Armatimonadetes_unclassified
Otu00607	VC3	42.4721929493453	Bacteria	Armatimonadetes	Armatimonadetes_unclassified	Armatimonadetes_unclassified	Armatimonadetes_unclassified
Otu00607	PNC1	13.6999877103675	Bacteria	Armatimonadetes	Armatimonadetes_unclassified	Armatimonadetes_unclassified	Armatimonadetes_unclassified
Otu00607	VC1	6.07020188685364	Bacteria	Armatimonadetes	Armatimonadetes_unclassified	Armatimonadetes_unclassified	Armatimonadetes_unclassified
Otu00607	PNC3	1.78116087597331	Bacteria	Armatimonadetes	Armatimonadetes_unclassified	Armatimonadetes_unclassified	Armatimonadetes_unclassified
Otu00607	PNC2	1.71090813983315	Bacteria	Armatimonadetes	Armatimonadetes_unclassified	Armatimonadetes_unclassified	Armatimonadetes_unclassified
Otu00296	VC2	86.026763746346	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Aurantimonadaceae
Otu00296	VC3	25.0105452046154	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Aurantimonadaceae
Otu00296	VC1	22.5148960097488	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Aurantimonadaceae
Otu00296	PNC1	3.13803680912322	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Aurantimonadaceae
Otu00296	PNC2	1.18876232198744	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Aurantimonadaceae
Otu00296	PNC3	0.625398308689373	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Aurantimonadaceae
Otu00028	VC3	745.0718845959	Bacteria	Gemmatimonadetes	Gemmatimonadetes	BD2-11_terrestrial_group	BD2-11_terrestrial_group_unclassified
Otu00028	VC2	531.308746155637	Bacteria	Gemmatimonadetes	Gemmatimonadetes	BD2-11_terrestrial_group	BD2-11_terrestrial_group_unclassified
Otu00028	VC1	495.347290614831	Bacteria	Gemmatimonadetes	Gemmatimonadetes	BD2-11_terrestrial_group	BD2-11_terrestrial_group_unclassified
Otu00028	PNC1	354.782927749115	Bacteria	Gemmatimonadetes	Gemmatimonadetes	BD2-11_terrestrial_group	BD2-11_terrestrial_group_unclassified
Otu00028	PNC3	248.409130845515	Bacteria	Gemmatimonadetes	Gemmatimonadetes	BD2-11_terrestrial_group	BD2-11_terrestrial_group_unclassified
Otu00028	PNC2	221.581523269733	Bacteria	Gemmatimonadetes	Gemmatimonadetes	BD2-11_terrestrial_group	BD2-11_terrestrial_group_unclassified
Otu00795	PNC3	11.4852840914645	Bacteria	Proteobacteria	Gammaproteobacteria	BD7-8_marine_group	BD7-8_marine_group_unclassified
Otu00795	PNC1	3.94692627811898	Bacteria	Proteobacteria	Gammaproteobacteria	BD7-8_marine_group	BD7-8_marine_group_unclassified
Otu00795	PNC2	2.38769011627436	Bacteria	Proteobacteria	Gammaproteobacteria	BD7-8_marine_group	BD7-8_marine_group_unclassified
Otu00795	VC3	0.202265372168285	Bacteria	Proteobacteria	Gammaproteobacteria	BD7-8_marine_group	BD7-8_marine_group_unclassified
Otu00795	VC1	0	Bacteria	Proteobacteria	Gammaproteobacteria	BD7-8_marine_group	BD7-8_marine_group_unclassified
