OTU	Sample	Abundance	Kingdom	Phylum	Class	Order	Family	Genus
Otu01342	PNC3	0	Bacteria	Gemmatimonadetes	Gemmatimonadetes	AT425-EubC11_terrestrial_group	AT425-EubC11_terrestrial_group_unclassified	AT425-EubC11_terrestrial_group_unclassified
Otu02392	PNC1	0.0215850937425024	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Acetivibrio
Otu02392	VC2	0.00796751680056961	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Acetivibrio
Otu02392	PNC2	0.00661028098608028	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Acetivibrio
Otu02392	VC3	0.00280170444141947	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Acetivibrio
Otu02392	VC1	0.00219867678171246	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Acetivibrio
Otu02392	PNC3	0.00212446486585153	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Acetivibrio
Otu02714	VC2	0.02681761263836	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacteraceae_unclassified
Otu02714	VC3	0.00551662017587921	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacteraceae_unclassified
Otu02714	VC1	0.00433227872137639	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacteraceae_unclassified
Otu02714	PNC1	0.00359855411642142	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacteraceae_unclassified
Otu02714	PNC3	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacteraceae_unclassified
Otu02714	PNC2	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacteraceae_unclassified
Otu02735	PNC3	0.0150937023910933	Bacteria	Acetothermia	Acetothermia_unclassified	Acetothermia_unclassified	Acetothermia_unclassified	Acetothermia_unclassified
Otu02735	PNC1	0.0107596114272169	Bacteria	Acetothermia	Acetothermia_unclassified	Acetothermia_unclassified	Acetothermia_unclassified	Acetothermia_unclassified
Otu02735	PNC2	0.00835238926784657	Bacteria	Acetothermia	Acetothermia_unclassified	Acetothermia_unclassified	Acetothermia_unclassified	Acetothermia_unclassified
Otu02735	VC3	0.000984153451845515	Bacteria	Acetothermia	Acetothermia_unclassified	Acetothermia_unclassified	Acetothermia_unclassified	Acetothermia_unclassified
Otu02735	VC2	0	Bacteria	Acetothermia	Acetothermia_unclassified	Acetothermia_unclassified	Acetothermia_unclassified	Acetothermia_unclassified
Otu02735	VC1	0	Bacteria	Acetothermia	Acetothermia_unclassified	Acetothermia_unclassified	Acetothermia_unclassified	Acetothermia_unclassified
Otu00281	PNC2	0.430876911523101	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiales_unclassified	Acidimicrobiales_unclassified
Otu00281	VC1	0.263219463430083	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiales_unclassified	Acidimicrobiales_unclassified
Otu00281	PNC3	0.21218263587696	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiales_unclassified	Acidimicrobiales_unclassified
Otu00281	VC3	0.160055038656126	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiales_unclassified	Acidimicrobiales_unclassified
Otu00281	PNC1	0.155789997353717	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiales_unclassified	Acidimicrobiales_unclassified
Otu00281	VC2	0.113054691543375	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiales_unclassified	Acidimicrobiales_unclassified
Otu02084	VC2	0.0456180452719237	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium
Otu02084	VC1	0.010830696803441	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium
Otu02084	PNC2	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium
Otu02084	VC3	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium
Otu02084	PNC1	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium
Otu02084	PNC3	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium
Otu01302	VC2	0.0928438900702008	Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Acidobacterium
Otu01302	VC1	0.000961515295948884	Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Acidobacterium
Otu01302	PNC3	0	Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Acidobacterium
Otu01302	VC3	0	Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Acidobacterium
Otu01302	PNC2	0	Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Acidobacterium
Otu01302	PNC1	0	Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Acidobacterium
Otu01176	VC2	0.0734035421187726	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus
Otu01176	PNC1	0.0263632859203835	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus
Otu01176	PNC3	0	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus
Otu01176	VC1	0	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus
Otu01176	PNC2	0	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus
