OTU	Sample	Abundance	Kingdom	Phylum	Class	Order
Otu00512	VC2	0.170705046290917	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidia_Incertae_Sedis
Otu00512	PNC1	0.0987152771488475	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidia_Incertae_Sedis
Otu00512	PNC3	0.0664195851435131	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidia_Incertae_Sedis
Otu00512	VC3	0.0234148407875118	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidia_Incertae_Sedis
Otu00512	PNC2	0.0214457632655864	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidia_Incertae_Sedis
Otu00713	PNC1	0.570618003296629	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales
Otu00713	VC2	0.366219390053981	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales
Otu00713	VC3	0.364009770985405	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales
Otu00713	PNC3	0.302683721379666	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales
Otu00713	VC1	0.22392733780066	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales
Otu00713	PNC2	0.222211448064897	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales
Otu01595	PNC1	0.0635042087290076	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_unclassified
Otu01595	PNC2	0.0086072148846629	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_unclassified
Otu01595	VC2	0	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_unclassified
Otu01595	PNC3	0	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_unclassified
Otu01595	VC3	0	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_unclassified
Otu01595	VC1	0	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_unclassified
Otu02729	VC2	0.0199338741290676	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales
Otu02729	VC1	0.0124736541631163	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales
Otu02729	VC3	0.00584659455832502	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales
